Consumer id: 21724:
Sorted products: 103
Acquired sums:
	25956
	-80050
	-114706
	-36428
	38233
	10833
	-222695
	188154
	-17529
	26544
	468717
	-15325
	23647
	-27413
	103036
	-139400
	-164721
	-244812
	44362
	-29781
	-46962
	-1546
	-296630
	-201497
	104684
	-84256
	-257469
	86692
	-21502
	-47215
	-120747
	248805
	225593
	57612
	-15033
	-223103
	2085
	29317
	-155088
	50175
	423989
	91414
	-183258
	73008
	-289714
	-151753
	156183
	-237101
	146255
	187058
	249360
	-10777
	-89342
	-22311
	4004
	-223113
	281405
	42737
	94047
	59569
	141601
	301906
	104733
	-326814
	-119571
	-104359
	-201799
	-84751
	106264
	-329285
	64997
	57781
	28464
	17179
	62658
	229394
	79711
	-330948
	-38334
	-339414
	52333
	-117213
	167402
	-267288
	-107374
	66452
	206962
	19117
	-190160
	286
	224016
	-29133
	284000
	159460
	-71816
	37222
	110657
	102572
	-67145
	-234248
	-365922
	-3819
	-499222
<------------------------------------------------------------------->
Consumer id: 9768:
Sorted products: 97
Acquired sums:
	22088
	-107622
	-73181
	-171879
	277716
	-3195
	108459
	80991
	52887
	116536
	143181
	36075
	-106971
	-97745
	145066
	391067
	-231122
	-385161
	-21859
	139278
	-272246
	-107977
	-218973
	-255282
	-67946
	243822
	-68546
	253782
	274198
	-90181
	30354
	155485
	42686
	96496
	-26319
	36073
	-138212
	113240
	-37784
	52390
	331430
	56742
	-3936
	-18002
	271055
	-167247
	-177157
	124649
	18611
	344292
	-205660
	67415
	63532
	91648
	67872
	-136467
	90997
	-347778
	-513194
	151557
	102934
	-24792
	-16212
	293019
	-226868
	29877
	-16996
	295824
	-87358
	178403
	28868
	-151845
	-13109
	-406704
	-12881
	-612418
	231339
	-12916
	-250563
	7284
	-122262
	-150406
	367271
	1999
	61128
	-128525
	93604
	-14315
	-401700
	-81663
	111800
	69696
	-33454
	-85014
	129106
	218261
	178824
<------------------------------------------------------------------->
Consumer id: 13860:
Sorted products: 98
Acquired sums:
	121173
	-24212
	144077
	211212
	134911
	27871
	173587
	-59995
	161333
	-134865
	72488
	110042
	32163
	-33961
	-353538
	-109794
	-271085
	-417850
	161630
	154196
	18650
	-292623
	-220788
	209083
	-60152
	-375
	-265467
	318794
	96677
	76641
	65471
	69910
	23796
	-51714
	83261
	135001
	-332498
	173614
	297610
	219369
	-9266
	-245849
	-199603
	193227
	-100400
	-250227
	49892
	-100682
	-21977
	-170565
	-5489
	-172734
	-10365
	168662
	-388701
	-103270
	53627
	96512
	305439
	-199845
	-213357
	-43937
	410630
	-301726
	-94163
	306411
	-12359
	23893
	-332520
	76162
	135934
	-151740
	404220
	-134823
	-180896
	-21333
	15964
	170216
	-281419
	146382
	-166321
	267265
	104765
	-154175
	230744
	71405
	-78686
	347434
	-92481
	53754
	136265
	104327
	292347
	-106934
	161668
	132004
	-239651
	103843
<------------------------------------------------------------------->
Consumer id: 20232:
Sorted products: 101
Acquired sums:
	-226966
	-105985
	182694
	194593
	9680
	-10050
	-47522
	406979
	126151
	-180618
	-382448
	-225894
	3859
	-26173
	45047
	109856
	-17000
	-32909
	99137
	-147451
	-511738
	-22971
	-86125
	65536
	118792
	-37217
	181269
	469
	-226648
	138438
	-93479
	170128
	-312097
	24966
	129465
	-141059
	26838
	172062
	194721
	37883
	251765
	18974
	-14664
	57442
	165724
	98018
	41217
	192559
	-16409
	-8075
	-51252
	-42307
	-272806
	-153094
	29328
	114711
	44860
	49385
	-3987
	47325
	-26002
	-53166
	300772
	-185826
	202043
	-176353
	46904
	205286
	368422
	309849
	72674
	-219290
	-354882
	-158560
	-85251
	39982
	76588
	-128563
	88858
	228637
	152811
	69996
	421152
	18490
	-93041
	-35871
	-137837
	-349257
	463222
	-71784
	-30192
	230790
	59268
	108085
	-182353
	140053
	99118
	175126
	40348
	-54849
	-489356
<------------------------------------------------------------------->
Consumer id: 19564:
Sorted products: 101
Acquired sums:
	-380920
	-89135
	-216801
	-645985
	-136478
	224909
	-346421
	-258603
	-151074
	166445
	121890
	72925
	-259322
	30021
	-48525
	-174672
	315336
	-41583
	-301325
	-97323
	147454
	88395
	-12493
	46602
	166767
	111133
	-161971
	66335
	110918
	-226903
	133844
	73384
	-24979
	-67826
	-135745
	-579716
	-197978
	154270
	30497
	-80063
	-235078
	-113183
	158490
	-163737
	-407107
	175511
	1342
	234611
	355282
	-2898
	558246
	206578
	-145889
	-12304
	-196667
	-95371
	33158
	219367
	15177
	67758
	-251668
	45812
	304302
	78004
	-26244
	219588
	106311
	-241328
	258106
	-60330
	246928
	-49789
	-83875
	-5277
	-8196
	203848
	219254
	-20260
	-26248
	359597
	-23027
	-23411
	45542
	29927
	114706
	159469
	122491
	148517
	-176024
	126659
	61337
	-223442
	-158858
	-85848
	47529
	-5349
	-4611
	42976
	-116710
	231252
	-63784
<------------------------------------------------------------------->
